title,album,year,lyrics_raw
Overdue,Showbiz,1999,"[Verse 1]
You needed it when I was away
And no matter what I say
You'll never forget when I wasn't there
So why should I care?

[Pre-Chorus]
I'm young, but I know that I'm aroused

[Chorus]
You know that I care
You should have been there
You know that I care
You should have been there

[Verse 2]
It doesn't matter where I have gone
I just can't afford to
And pay for all the mistakes that you have made
It's about time I was paid

[Pre-Chorus]
I'm young, but I know that I'm aroused

[Chorus]
You know that I care
You should have been there
You know that I care
You should have been there
You know that I care
You should have been there
You know that I care
You should have been there
You know that I care
You should have been there
You know that I care
You should have been there"
Hate This & I’ll Love You,Showbiz,1999,"[Verse 1]
Oh, I am growing tired
Of allowing you to steal
Everything I have
You're making me feel

[Chorus]
Like I was born to service you
But I am growing by the hour

[Verse 2]
You left us far behind
So we all discard our souls
And blaze through your skies
So unafraid to die

[Chorus]
'Cause I was born to destroy you!
And I am growing by the hour

[Bridge]
And I'm getting strong in every way, yeah!
Yeah-yeah-yeah!

[Interlude]
You led me on
You led me on
Ooh

[Instrumental Bridge]

[Bridge]
And I'm getting strong in every way, yeah!
Yeah-yeah-yeah! Ooh

[Outro]
Ooh-ooh-ooh-ooh-ah
Ooh..."
Spiral Static,Showbiz,1999,"[Verse 1]
Who's ever known
How much to moan and groan
And quiver inside?
He needs to give you
Everything you need
Is it enough?

[Chorus]
You're running out of time
As it grows in your mind
Feel broken inside, you'll feel

[Verse 2]
Sigh, static moans
A storm growing strong
And it's coming my way
Still she gives you everything you need
Is it enough?

[Chorus]
You're running out of time
As it grows in your mind
Feel broken inside, you'll feel

[Outro]
And I'll feel broken inside, you'll feel"
New Born,Origin of Symmetry,2001,"[Verse 1]
Link it to the world, link it to yourself
Stretch it like a birth squeeze
The love for what you hide, the bitterness inside
Is growing like the newborn

[Pre-Chorus]
When you've seen, seen
Too much
Too young, young
Soulless is everywhere

[Instrumental Break]

[Verse 2]
Hopeless times to roam, the distance to your home
Fades away to nowhere
How much are you worth, you can't come down to earth
You're swelling up, you're unstoppable

[Pre-Chorus]
'Cause you've seen, seen
Too much
Too young, young
Soulless is everywhere

[Chorus]
Destroy the spineless, show me it's real
Wasting our last chance to come away
Just break the silence, 'cause I'm drifting away
Away from you, ooh

[Guitar Solo]

[Verse 1]
Yeah, link it to the world, link it to yourself
Stretch it like it's a birth squeeze
And the love for what you hide, and the bitterness inside
Is growing like the newborn

[Pre-Chorus]
When you've seen, seen
Too much
Too young, young
Soulless is everywhere

[Chorus]
Destroy the spineless, show me it's real
Wasting our last chance to come away
Just break the silence, 'cause I'm drifting away
Away from you, ooh

[Instrumental Outro]"
Bliss,Origin of Symmetry,2001,"[Verse 1]
Everything about you is how I'd wanna be
Your freedom comes naturally
Everything about you resonates happiness
Now I won't settle for less

[Chorus]
Give me all the peace and joy in your mind
Ooh

[Verse 2]
Everything about you pains my envying
Your soul can't hate anything
Everything about you is so easy to love
They're watching you from above

[Chorus]
Give me all the peace and joy in your mind
I want the peace and joy in your mind
Give me the peace and joy in your mind, ooh

[Bridge]
Everything about you resonates happiness
Now I won't settle for less

[Chorus]
Give me all the peace and joy in your mind
I want the peace and joy in your mind
Give me the peace and joy in your mind
Ooh"
Space Dementia,Origin of Symmetry,2001,"[Verse 1]
H8 is the one for me
It gives me all I need
And helps me coexist
With the chill, ooh

[Verse 2]
You make me sick
Because I adore you so
I love all the dirty tricks
And twisted games you play on me, ooh

[Chorus]
Space dementia in your eyes and
Peace will arise
And tear us apart
And make us meaningless again

[Verse 3]
You make us wanna die
I'd cut your name in my heart
We'll destroy this world for you
I know you want me to feel your pain, ooh

[Chorus]
Space dementia in your eyes and
Peace will arise
And tear us apart
And make us meaningless again

[Instrumental Outro]"
Hyper Music,Origin of Symmetry,2001,"[Instrumental Intro]

[Verse 1]
Your golden lies feed my role
In this forgotten space race under my control

[Pre-Chorus]
Who's returned from the dead?
Who remains?
(Just to spit it in your face!)

[Chorus]
You know that I don't want you
And I never did
I don't want you
And I never will

[Verse 2]
You wanted more than I was worth
And you think I was scared, yeah, and you needed proof

[Pre-Chorus]
Who really cares anymore?
Who restrains?
(Just to spit it in your face!)

[Chorus]
You know that I don't love you
And I never did
I don't want you
And I never will"
Plug In Baby,Origin of Symmetry,2001,"[Verse 1]
I've exposed your lies, baby
The underneath's no big surprise
Now it's time for changing
And cleansing everything
To forget your love

[Chorus]
My plug-in baby
Crucifies my enemies
When I'm tired of giving, woah-oh-oh
My plug-in baby
In unbroken virgin realities
Is tired of living, ooh

[Verse 2]
Don't confuse
Baby you're gonna lose
Your own game
Change me
And replace the envying
To forget your love

[Chorus]
And my plug-in baby
Crucifies my enemies
When I'm tired of giving, woah-oh-oh
My plug-in baby
In unbroken virgin realities
Is tired of living, ooh

[Outro]
And I've seen your loving
Mine is gone
And I've been in trouble
Wooaahhh"
Citizen Erased,Origin of Symmetry,2001,"[Verse 1]
Break me in
Teach us to cheat
And to lie, and cover up
What shouldn't be shared

[Pre-Chorus]
And the truth's unwinding, scraping away
At my mind, please stop asking me to describe

[Chorus]
For one moment
I wish you'd hold your stage with no feelings at all
Open-minded
I'm sure I used to be so free

[Verse 2]
Self-expressed
Exhausting for all
To see and to be
What you want and what you need

[Pre-Chorus]
And the truth's unwinding, scraping away
At my mind, please stop asking me to describe

[Chorus]
For one moment
I wish you'd hold your stage with no feelings at all
Open-minded
I'm sure I used to be so free

[Instrumental Break]

[Chorus]
For one moment
I wish you'd hold your stage with no feelings at all
Open-minded
I'm sure I used to be so free

[Instrumental Break]

[Outro]
Wash me away
Clean your body of me
Erase all the memories
They'll only bring us pain
And I've seen all I'll ever need"
Micro Cuts,Origin of Symmetry,2001,"[Verse 1]
Hands are red with your blame
Megaphone screaming my name
Whimpers, someone I should've loved
Souls weeping above

[Chorus]
I've seen
What you're doing to me
Destroying puppet strings to our souls

[Verse 2]
Micro waves me insane
A blade cuts in your brain
Sounds like forks on a plate
Blackboard scratched with hate

[Chorus]
I've seen
What you're doing to me
Destroying puppet strings to our souls

[Instrumental Outro]"
